AX,AY,AZ,GX,GY,GZ,water,activity
-4592,696,-11100,-207,-1467,-1941,204,drowning
-6724,1536,-14940,-1440,1553,-1410,202,drowning
-6524,316,-14848,239,1752,300,201,drowning
-6976,1308,-15376,-264,403,802,201,drowning
-6300,844,-15344,2733,-19,-296,200,drowning
-6256,416,-18456,2163,675,-139,200,drowning
-5140,332,-17528,61,-3592,571,202,drowning
-4580,1696,-15964,-305,-3052,1554,202,drowning
-4948,1700,-19772,2670,-5087,203,203,drowning
-3408,1404,-13560,-137,-3894,-971,204,drowning
-4356,1132,-14120,-3728,-5768,-1052,205,drowning
-6480,2168,-16368,-1660,-2289,-1137,206,drowning
-7240,1032,-13512,513,-2629,-1578,206,drowning
-8088,1280,-11664,-1930,-1760,-1046,205,drowning
-8648,436,-11196,1904,-1603,-1449,203,drowning
-9928,204,-13688,490,1004,-560,203,drowning
-10204,1400,-12956,-1103,-786,-891,201,drowning
-9964,864,-13600,-1632,52,-2282,200,drowning
-8648,416,-15188,1596,3618,-985,199,drowning
-7228,608,-15616,-306,393,-677,199,drowning
-6036,692,-15172,-76,2693,224,198,drowning
-6476,920,-16204,734,-845,711,198,drowning
-6320,1980,-14840,682,1123,267,199,drowning
-6440,1604,-16712,95,2331,-731,199,drowning
-5736,1388,-17156,-167,4902,-575,201,drowning
-6956,1732,-23888,-65,122,-738,202,drowning
-5524,1376,-12332,-3823,-6515,-1153,203,drowning
-5548,-136,-11440,1477,-744,-417,204,drowning
-4916,1376,-12920,179,6296,1628,204,drowning
-5872,1600,-17500,501,933,-580,204,drowning
-5648,928,-13524,678,459,-1000,205,drowning
-7056,1336,-16076,-1738,60,-1169,207,drowning
-7496,64,-15864,245,-642,-681,207,drowning
-7668,688,-15748,281,-540,63,208,drowning
-7088,752,-15920,332,927,764,210,drowning
-6252,1456,-15700,-467,397,968,211,drowning
-5720,1768,-16616,-812,1468,487,211,drowning
-5704,1728,-14184,-292,-1707,126,212,drowning
-6848,1052,-15344,719,-1041,-397,213,drowning
-7092,1184,-14432,1111,-1541,378,214,drowning
-7260,1776,-16084,-545,-627,-545,215,drowning
-7112,1592,-15636,-659,-3016,-1008,214,drowning
-6708,1376,-15124,-650,-1403,-435,214,drowning
-6340,1600,-13900,-432,-1145,-143,213,drowning
-7076,2064,-16108,-467,-2989,-422,214,drowning
-6460,736,-11824,1535,-1353,-717,215,drowning
-7604,904,-14528,-73,-2006,-711,216,drowning
-7968,652,-12556,221,-3671,-788,216,drowning
-8816,20,-12032,444,-3069,-210,215,drowning
-9120,1080,-11800,1215,-297,1114,215,drowning
-9412,1840,-14212,-501,324,713,214,drowning
-9032,1920,-14004,-1029,1704,-526,213,drowning
-9320,1984,-15376,-354,1174,-778,214,drowning
-8996,1212,-14980,660,1471,-543,214,drowning
-8744,1572,-15348,-706,1220,-234,215,drowning
-8396,1396,-14888,-808,842,-133,215,drowning
-8052,1692,-14580,-312,708,59,216,drowning
-7676,1684,-14216,403,1821,56,215,drowning
-7588,1840,-15348,243,3224,-13,215,drowning
-7420,2092,-15220,-515,998,-326,215,drowning
-7252,1088,-15196,1041,-783,-844,215,drowning
-7104,1436,-11976,1340,-2278,-687,214,drowning
-7436,1032,-12928,561,-526,-286,215,drowning
-7080,1852,-12472,-1733,3372,-323,214,drowning
-7872,676,-16152,2033,715,-330,214,drowning
-5000,96,-10968,1111,2630,-80,214,drowning
-884,1956,-13384,981,9997,1729,214,drowning
548,1172,-17472,-689,5437,-445,214,drowning
316,1824,-15020,-78,2048,379,214,drowning
-1860,1412,-25044,739,-3710,1518,212,drowning
-4960,2856,-16168,-589,-17526,467,207,drowning
-5060,3876,-15844,1991,-19485,-451,204,drowning
-6388,2032,-13104,1500,-22344,-3653,203,drowning
-8924,2876,-8388,1801,-19520,-4830,201,drowning
-11816,-1784,-6968,4862,-21835,-3996,199,drowning
-14000,-2960,-2144,4805,-25229,-2059,198,drowning
-20984,112,8,132,-23603,-5368,197,drowning
-18656,-4184,7532,3209,-11360,-945,199,drowning
